Day_of_Week,Time_of_Booking,Days_Before_Travel,Train_Popularity,Season,Travel_Class,Num_Passengers,Booking_Type,Waiting_List_Position,Ticket_Confirmed
Fri,Evening,83,Low,Festival,1AC,3,Tatkal,22,1
Sat,Night,91,Low,Normal,3AC,4,Normal,51,1
Sun,Afternoon,67,Low,Holiday,Sleeper,3,Normal,99,0
Sat,Afternoon,71,Medium,Festival,1AC,5,Tatkal,17,1
Sun,Morning,57,Medium,Festival,Sleeper,5,Normal,25,0
Tue,Afternoon,81,Low,Holiday,2AC,4,Tatkal,73,1
Sat,Morning,95,Medium,Normal,3AC,3,Tatkal,1,0
Sat,Evening,52,Medium,Festival,1AC,3,Normal,13,1
Mon,Morning,86,Medium,Normal,1AC,4,Tatkal,57,1
Thu,Evening,61,Medium,Holiday,1AC,2,Tatkal,83,1
Sat,Afternoon,78,Low,Normal,3AC,4,Normal,46,1
Thu,Morning,107,Medium,Normal,1AC,3,Tatkal,40,1
Sun,Night,6,High,Holiday,2AC,3,Tatkal,33,0
Wed,Afternoon,111,High,Normal,2AC,4,Normal,54,1
Fri,Afternoon,30,Low,Festival,2AC,5,Tatkal,27,1
Mon,Afternoon,95,Medium,Normal,1AC,3,Tatkal,76,1
Sun,Afternoon,39,Medium,Holiday,1AC,2,Normal,13,0
Tue,Afternoon,77,High,Holiday,1AC,5,Tatkal,76,1
Wed,Night,82,Medium,Normal,2AC,2,Normal,71,0
Mon,Night,49,Low,Normal,2AC,4,Tatkal,64,1
Mon,Night,103,High,Holiday,Sleeper,3,Tatkal,1,1
Sun,Morning,79,Low,Holiday,1AC,4,Tatkal,8,1
Tue,Afternoon,8,High,Festival,2AC,5,Normal,96,1
Tue,Morning,64,Low,Festival,2AC,3,Normal,74,1
Thu,Morning,24,Low,Festival,2AC,4,Normal,25,0
Fri,Morning,7,Medium,Festival,1AC,4,Tatkal,29,1
Sun,Afternoon,38,Medium,Festival,Sleeper,1,Normal,94,0
Wed,Afternoon,31,Medium,Festival,2AC,5,Tatkal,36,1
Fri,Morning,7,Medium,Normal,Sleeper,3,Normal,68,1
Wed,Afternoon,12,Medium,Festival,Sleeper,5,Tatkal,50,0
Mon,Morning,66,High,Festival,Sleeper,1,Tatkal,27,0
Sat,Afternoon,65,Low,Holiday,Sleeper,5,Normal,88,0
Sat,Afternoon,108,Low,Holiday,1AC,4,Normal,5,1
Sun,Morning,27,Medium,Holiday,2AC,3,Tatkal,39,1
Tue,Night,3,Low,Holiday,2AC,3,Normal,25,1
Tue,Afternoon,22,Low,Festival,Sleeper,3,Normal,69,0
Mon,Morning,33,Medium,Festival,2AC,3,Normal,94,1
Mon,Morning,54,Low,Holiday,2AC,1,Normal,38,1
Wed,Afternoon,70,Low,Festival,2AC,3,Normal,28,0
Mon,Afternoon,93,Low,Holiday,3AC,5,Tatkal,70,0
Sun,Morning,57,Low,Normal,3AC,2,Tatkal,78,1
Wed,Morning,72,Low,Normal,3AC,1,Tatkal,4,1
Fri,Morning,18,Medium,Normal,3AC,1,Tatkal,20,0
Tue,Evening,8,Medium,Holiday,2AC,5,Normal,5,1
Tue,Afternoon,22,Low,Normal,3AC,5,Tatkal,41,0
Sat,Evening,74,Medium,Holiday,Sleeper,3,Tatkal,90,1
Sat,Morning,12,Medium,Holiday,2AC,3,Normal,5,1
Sun,Evening,92,Medium,Festival,3AC,2,Normal,59,0
Tue,Night,30,Medium,Holiday,1AC,3,Normal,77,0
Sun,Morning,71,Medium,Normal,3AC,1,Tatkal,94,1
Fri,Night,109,Low,Normal,3AC,5,Tatkal,45,0
Fri,Evening,18,Medium,Normal,3AC,2,Normal,99,1
Thu,Night,4,Medium,Holiday,2AC,2,Normal,59,0
Wed,Evening,111,High,Festival,1AC,4,Tatkal,68,0
Sat,Afternoon,90,Medium,Festival,3AC,2,Normal,43,0
Wed,Afternoon,38,Low,Festival,Sleeper,4,Tatkal,37,0
Sat,Evening,119,Medium,Normal,1AC,1,Tatkal,1,1
Thu,Morning,13,High,Holiday,1AC,2,Tatkal,37,0
Tue,Afternoon,21,Low,Festival,2AC,3,Normal,40,0
Sun,Evening,21,Medium,Holiday,2AC,5,Tatkal,39,1
Wed,Morning,4,High,Festival,3AC,4,Tatkal,84,0
Sat,Afternoon,61,High,Festival,Sleeper,4,Normal,88,1
Wed,Evening,51,Medium,Festival,2AC,1,Normal,57,0
Tue,Morning,79,Medium,Holiday,1AC,1,Tatkal,47,1
Sun,Morning,38,Medium,Festival,2AC,1,Tatkal,23,0
Mon,Evening,25,High,Holiday,Sleeper,4,Normal,42,0
Sat,Night,116,Low,Festival,2AC,3,Normal,2,1
Mon,Night,79,Medium,Holiday,Sleeper,4,Normal,88,1
Thu,Night,55,Medium,Normal,Sleeper,4,Normal,71,1
Sun,Night,11,Medium,Festival,3AC,1,Normal,92,0
Fri,Morning,79,Low,Festival,3AC,4,Normal,1,0
Wed,Night,48,Medium,Holiday,3AC,5,Normal,16,1
Sat,Evening,103,High,Normal,3AC,2,Tatkal,91,1
Wed,Morning,11,High,Normal,3AC,3,Tatkal,84,0
Thu,Night,95,Low,Festival,1AC,4,Tatkal,34,1
Thu,Evening,4,Low,Normal,1AC,2,Tatkal,18,1
Wed,Afternoon,99,Medium,Festival,2AC,3,Tatkal,98,0
Sat,Morning,91,Medium,Festival,3AC,4,Normal,11,1
Sun,Evening,117,Medium,Festival,Sleeper,5,Normal,67,1
Tue,Night,118,High,Festival,Sleeper,5,Tatkal,88,0
Sun,Evening,50,High,Holiday,1AC,5,Normal,54,0
Tue,Morning,107,Low,Holiday,3AC,2,Tatkal,62,1
Fri,Afternoon,3,High,Festival,3AC,1,Normal,26,0
Sun,Night,102,Medium,Festival,3AC,4,Tatkal,73,1
Wed,Evening,102,Low,Festival,2AC,3,Normal,19,0
Wed,Afternoon,92,Low,Holiday,1AC,4,Tatkal,30,0
Sat,Morning,82,Medium,Holiday,2AC,1,Tatkal,66,1
Wed,Night,24,Medium,Holiday,Sleeper,3,Normal,92,0
Sat,Afternoon,98,Medium,Normal,3AC,2,Tatkal,60,1
Wed,Morning,23,Medium,Holiday,3AC,4,Tatkal,51,1
Thu,Night,55,High,Festival,Sleeper,1,Tatkal,39,0
Mon,Evening,18,High,Normal,3AC,2,Tatkal,94,0
Wed,Afternoon,22,High,Festival,Sleeper,3,Tatkal,6,1
Mon,Morning,94,High,Holiday,2AC,2,Tatkal,18,0
Tue,Evening,82,High,Normal,2AC,3,Normal,99,0
Fri,Night,95,Medium,Normal,3AC,1,Normal,60,1
Sun,Afternoon,76,Low,Normal,2AC,4,Normal,58,0
Sun,Morning,45,Medium,Normal,Sleeper,5,Tatkal,34,1
Tue,Afternoon,17,High,Normal,3AC,2,Tatkal,38,0
Wed,Evening,60,High,Festival,Sleeper,1,Tatkal,15,0
Sun,Evening,70,Low,Holiday,1AC,3,Normal,10,1
Sat,Morning,44,Low,Normal,Sleeper,3,Normal,35,0
Tue,Afternoon,87,Medium,Normal,3AC,1,Normal,26,1
Thu,Afternoon,120,Medium,Normal,1AC,2,Tatkal,19,1
Mon,Evening,45,Low,Normal,1AC,5,Tatkal,26,0
Sat,Afternoon,16,High,Festival,3AC,3,Tatkal,79,0
Sun,Afternoon,14,Medium,Festival,1AC,1,Normal,93,0
Sat,Afternoon,72,Medium,Festival,1AC,2,Normal,86,1
Wed,Morning,33,Medium,Festival,Sleeper,2,Tatkal,66,0
Thu,Evening,98,Medium,Festival,Sleeper,3,Tatkal,29,0
Mon,Night,7,Medium,Normal,2AC,4,Normal,87,1
Thu,Morning,49,High,Festival,3AC,5,Normal,83,0
Tue,Evening,118,Low,Festival,2AC,4,Normal,71,0
Wed,Morning,10,Low,Normal,1AC,2,Tatkal,3,1
Sat,Night,87,Low,Holiday,2AC,5,Normal,28,1
Sat,Morning,41,Medium,Holiday,3AC,3,Tatkal,2,0
Tue,Morning,93,High,Normal,3AC,5,Normal,15,0
Sat,Night,84,Medium,Normal,3AC,4,Normal,68,1
Fri,Afternoon,42,Medium,Holiday,Sleeper,1,Normal,76,0
Wed,Evening,34,Medium,Normal,Sleeper,3,Tatkal,49,0
Tue,Night,58,Medium,Normal,2AC,1,Normal,9,0
Wed,Morning,11,Low,Festival,1AC,2,Normal,11,0
Mon,Afternoon,72,Low,Festival,1AC,5,Normal,29,1
Wed,Morning,11,Low,Festival,3AC,1,Normal,92,0
Wed,Afternoon,27,High,Holiday,3AC,5,Normal,0,1
Mon,Morning,92,High,Normal,1AC,2,Tatkal,59,0
Tue,Evening,45,Medium,Normal,Sleeper,3,Normal,63,0
Wed,Evening,108,Medium,Holiday,Sleeper,4,Normal,35,1
Thu,Morning,39,Low,Normal,3AC,5,Tatkal,41,0
Wed,Night,98,Medium,Holiday,1AC,4,Tatkal,44,0
Tue,Morning,28,Low,Festival,Sleeper,1,Tatkal,79,1
Sat,Morning,119,High,Holiday,2AC,1,Normal,64,1
Sun,Night,114,Low,Holiday,3AC,2,Normal,99,0
Mon,Night,69,High,Holiday,1AC,3,Normal,96,1
Sat,Morning,15,Medium,Holiday,Sleeper,1,Normal,18,0
Tue,Afternoon,45,Low,Normal,Sleeper,3,Normal,53,0
Fri,Evening,91,High,Holiday,3AC,4,Tatkal,89,0
Sun,Afternoon,64,Medium,Normal,Sleeper,1,Tatkal,90,0
Sat,Night,28,High,Festival,1AC,4,Normal,91,0
Wed,Evening,51,High,Festival,2AC,3,Normal,33,0
Sun,Morning,39,High,Normal,Sleeper,4,Tatkal,83,0
Wed,Evening,5,Medium,Normal,2AC,4,Tatkal,12,0
Mon,Morning,26,Medium,Normal,1AC,5,Tatkal,59,0
Wed,Morning,36,High,Festival,2AC,3,Normal,15,0
Sun,Night,21,Low,Festival,2AC,2,Tatkal,21,0
Thu,Afternoon,6,Medium,Holiday,1AC,1,Normal,68,1
Thu,Night,0,Medium,Holiday,3AC,2,Tatkal,7,1
Sat,Night,76,High,Holiday,1AC,1,Normal,13,1
Tue,Evening,47,Medium,Holiday,2AC,5,Tatkal,32,1
Mon,Afternoon,50,High,Normal,Sleeper,1,Normal,16,0
Fri,Afternoon,107,Medium,Festival,Sleeper,4,Normal,13,1
Sat,Afternoon,13,High,Holiday,2AC,1,Tatkal,35,0
Tue,Afternoon,78,Medium,Holiday,2AC,5,Tatkal,79,1
Mon,Evening,11,High,Festival,3AC,1,Tatkal,33,0
Sun,Evening,48,High,Holiday,2AC,1,Tatkal,56,0
Mon,Night,40,Low,Normal,2AC,4,Tatkal,30,0
Sun,Night,67,Low,Holiday,2AC,5,Normal,86,1
Sat,Afternoon,113,Low,Holiday,Sleeper,1,Tatkal,52,1
Tue,Night,107,Low,Festival,1AC,2,Normal,40,1
Tue,Evening,106,Medium,Holiday,Sleeper,4,Tatkal,30,1
Wed,Night,84,High,Normal,3AC,5,Normal,10,0
Fri,Morning,1,High,Holiday,1AC,5,Tatkal,69,0
Thu,Night,118,High,Normal,3AC,2,Normal,62,1
Wed,Evening,115,Low,Festival,3AC,4,Normal,69,0
Mon,Afternoon,84,Medium,Holiday,Sleeper,2,Tatkal,23,1
Fri,Morning,61,Medium,Holiday,2AC,2,Tatkal,71,1
Fri,Morning,56,Medium,Holiday,1AC,5,Tatkal,51,0
Tue,Morning,13,Low,Normal,Sleeper,1,Normal,26,0
Fri,Night,43,High,Holiday,2AC,1,Normal,51,1
Sat,Night,65,Medium,Normal,2AC,1,Normal,68,1
Fri,Morning,74,Low,Festival,1AC,4,Tatkal,99,1
Mon,Morning,36,High,Festival,2AC,3,Normal,98,0
Sat,Afternoon,77,High,Holiday,2AC,4,Tatkal,56,1
Sat,Afternoon,46,Medium,Holiday,3AC,4,Tatkal,17,0
Wed,Morning,60,Medium,Holiday,3AC,2,Tatkal,83,0
Fri,Afternoon,83,High,Normal,2AC,5,Tatkal,2,1
Tue,Evening,98,Medium,Holiday,Sleeper,5,Tatkal,80,1
Sun,Night,26,High,Normal,3AC,1,Tatkal,17,0
Wed,Afternoon,48,Low,Holiday,3AC,3,Tatkal,34,1
Tue,Evening,59,Medium,Normal,1AC,1,Normal,56,1
Fri,Night,69,Medium,Normal,2AC,5,Tatkal,77,0
Wed,Afternoon,70,Medium,Festival,Sleeper,3,Tatkal,78,1
Fri,Night,44,Medium,Normal,3AC,5,Normal,31,1
Mon,Evening,0,Low,Holiday,2AC,5,Normal,91,1
Wed,Evening,12,Medium,Normal,3AC,1,Normal,3,0
Tue,Night,37,Low,Festival,Sleeper,3,Tatkal,97,0
Mon,Morning,16,Medium,Holiday,3AC,2,Tatkal,6,1
Thu,Afternoon,101,High,Normal,Sleeper,4,Normal,57,1
Tue,Morning,99,High,Festival,3AC,3,Tatkal,1,0
Sun,Evening,37,Low,Normal,1AC,4,Normal,12,1
Fri,Night,0,Low,Festival,2AC,2,Tatkal,7,1
Tue,Afternoon,0,Medium,Normal,3AC,5,Tatkal,100,0
Thu,Afternoon,82,Medium,Festival,3AC,2,Normal,88,1
Tue,Morning,117,Low,Holiday,2AC,5,Normal,23,1
Mon,Afternoon,114,High,Festival,Sleeper,4,Normal,56,0
Sat,Afternoon,29,Low,Normal,2AC,2,Normal,66,0
Tue,Afternoon,76,Medium,Normal,2AC,2,Tatkal,2,1
Wed,Evening,6,High,Festival,2AC,1,Normal,35,0
Sun,Morning,106,Medium,Normal,3AC,5,Normal,17,1
Thu,Evening,19,Low,Festival,3AC,1,Normal,23,1
Tue,Night,43,High,Holiday,Sleeper,4,Tatkal,24,0
Thu,Night,72,High,Holiday,Sleeper,5,Tatkal,72,1
Sat,Morning,12,High,Holiday,1AC,4,Tatkal,53,0
Mon,Night,38,Medium,Festival,Sleeper,3,Tatkal,29,0
Wed,Evening,19,Low,Holiday,Sleeper,4,Tatkal,2,0
Fri,Evening,88,High,Holiday,3AC,3,Normal,60,0
Tue,Evening,4,Medium,Holiday,2AC,2,Normal,80,1
Mon,Evening,111,Low,Festival,3AC,4,Tatkal,96,1
Thu,Morning,51,Low,Festival,1AC,5,Tatkal,14,0
Sat,Afternoon,113,High,Normal,2AC,5,Normal,48,0
Sun,Night,24,High,Normal,3AC,4,Normal,37,0
Thu,Morning,11,Low,Normal,2AC,2,Normal,44,0
Sun,Afternoon,89,Medium,Festival,1AC,1,Normal,36,0
Sat,Morning,55,Low,Holiday,2AC,5,Tatkal,4,1
Sun,Night,85,Medium,Normal,3AC,4,Normal,20,1
Sat,Morning,0,Low,Festival,Sleeper,1,Tatkal,16,0
Mon,Night,71,Low,Festival,1AC,5,Normal,71,1
Tue,Morning,99,Medium,Festival,3AC,1,Tatkal,41,0
Fri,Morning,48,Low,Normal,2AC,4,Normal,78,1
Tue,Evening,66,Low,Normal,Sleeper,1,Tatkal,100,1
Wed,Morning,21,Low,Normal,2AC,5,Tatkal,100,0
Tue,Morning,113,High,Festival,3AC,4,Tatkal,12,0
Sat,Afternoon,103,Medium,Normal,3AC,3,Normal,11,1
Sat,Evening,84,Low,Festival,3AC,3,Normal,91,1
Wed,Night,84,Medium,Festival,1AC,2,Tatkal,76,1
Thu,Evening,30,High,Holiday,Sleeper,4,Tatkal,98,0
Sat,Morning,0,Medium,Festival,3AC,5,Tatkal,65,0
Wed,Night,104,High,Holiday,2AC,5,Normal,7,0
Sat,Morning,26,Low,Holiday,1AC,4,Normal,26,1
Fri,Evening,1,Low,Normal,3AC,4,Tatkal,34,0
Sat,Evening,120,Medium,Normal,2AC,2,Normal,76,1
Mon,Morning,92,High,Festival,Sleeper,2,Tatkal,41,0
Wed,Morning,105,Medium,Normal,Sleeper,1,Tatkal,14,1
Sun,Morning,109,High,Holiday,2AC,1,Tatkal,75,1
Tue,Afternoon,0,Low,Festival,Sleeper,2,Tatkal,56,0
Wed,Evening,41,Low,Holiday,2AC,2,Normal,74,1
Thu,Afternoon,7,High,Normal,Sleeper,5,Normal,10,0
Sat,Evening,34,High,Festival,1AC,4,Normal,37,0
Wed,Evening,108,High,Normal,2AC,1,Tatkal,5,0
Fri,Night,34,Low,Normal,Sleeper,5,Tatkal,37,0
Wed,Night,6,High,Normal,3AC,4,Tatkal,8,0
Fri,Evening,22,High,Normal,1AC,1,Normal,86,0
Sat,Night,22,Medium,Festival,2AC,3,Tatkal,36,0
Tue,Evening,106,High,Festival,Sleeper,4,Normal,42,1
Sat,Evening,45,Low,Normal,1AC,5,Normal,82,1
Thu,Morning,102,High,Holiday,1AC,2,Tatkal,77,0
Mon,Night,18,Medium,Festival,1AC,1,Normal,94,1
Tue,Afternoon,78,Medium,Normal,2AC,2,Tatkal,59,1
Tue,Afternoon,71,High,Festival,2AC,3,Normal,68,1
Mon,Night,96,High,Normal,1AC,2,Tatkal,98,1
Wed,Evening,98,High,Normal,2AC,5,Tatkal,83,1
Sat,Afternoon,103,Medium,Holiday,3AC,4,Tatkal,31,0
Wed,Night,12,Low,Holiday,3AC,4,Normal,50,0
Wed,Afternoon,49,High,Festival,1AC,3,Normal,19,1
Sat,Morning,30,Medium,Festival,1AC,1,Normal,31,0
Thu,Evening,70,Low,Holiday,3AC,5,Normal,64,0
Tue,Morning,83,Medium,Normal,Sleeper,3,Normal,38,0
Fri,Afternoon,37,Medium,Normal,3AC,5,Tatkal,54,0
Mon,Evening,56,High,Festival,2AC,1,Tatkal,24,0
Tue,Evening,7,High,Normal,3AC,3,Normal,19,1
Wed,Evening,99,High,Normal,3AC,4,Normal,49,0
Mon,Night,118,Low,Holiday,Sleeper,5,Normal,63,0
Fri,Night,13,High,Festival,1AC,3,Normal,77,1
Tue,Evening,93,High,Festival,Sleeper,1,Tatkal,13,0
Tue,Evening,50,Low,Holiday,3AC,5,Tatkal,69,0
Thu,Evening,8,Medium,Festival,1AC,4,Normal,94,0
Tue,Morning,12,High,Normal,3AC,5,Normal,10,0
Tue,Morning,75,Medium,Festival,1AC,1,Normal,11,1
Fri,Afternoon,65,Low,Holiday,3AC,3,Tatkal,9,1
Fri,Evening,37,High,Holiday,Sleeper,3,Normal,60,1
Mon,Evening,20,Low,Normal,3AC,2,Tatkal,90,0
Wed,Morning,28,Low,Normal,2AC,4,Normal,91,0
Fri,Afternoon,83,Medium,Festival,1AC,2,Tatkal,78,0
Mon,Afternoon,49,High,Normal,3AC,3,Tatkal,58,0
Tue,Evening,63,Low,Normal,Sleeper,3,Tatkal,84,0
Mon,Night,8,Low,Holiday,Sleeper,5,Normal,62,1
Mon,Afternoon,14,High,Holiday,1AC,3,Tatkal,8,1
Mon,Afternoon,52,High,Normal,1AC,3,Tatkal,94,0
Sat,Evening,96,High,Holiday,Sleeper,5,Tatkal,76,0
Mon,Evening,52,High,Festival,Sleeper,4,Tatkal,93,0
Fri,Evening,70,Low,Festival,Sleeper,1,Normal,96,1
Sun,Morning,2,High,Festival,Sleeper,2,Normal,70,0
Sun,Evening,86,Medium,Holiday,2AC,4,Tatkal,12,1
Sun,Night,21,Low,Normal,1AC,5,Normal,9,1
Sun,Night,38,Low,Normal,1AC,2,Normal,23,0
Sat,Afternoon,76,Medium,Normal,Sleeper,2,Tatkal,24,1
Wed,Morning,8,Low,Holiday,3AC,5,Normal,1,1
Mon,Afternoon,33,Medium,Normal,2AC,1,Tatkal,90,0
Thu,Morning,11,High,Festival,3AC,3,Normal,78,1
Sun,Evening,33,High,Normal,1AC,2,Normal,78,1
Tue,Afternoon,44,Medium,Normal,3AC,1,Normal,27,0
Sun,Night,96,High,Normal,1AC,2,Normal,51,1
Sun,Morning,49,High,Holiday,Sleeper,4,Normal,55,1
Tue,Afternoon,98,Low,Normal,3AC,2,Normal,37,0
Sat,Night,27,Low,Holiday,Sleeper,3,Normal,2,1
Tue,Night,38,High,Festival,1AC,3,Tatkal,96,0
Tue,Evening,2,High,Holiday,Sleeper,1,Tatkal,18,0
Sat,Morning,46,Medium,Normal,3AC,5,Tatkal,38,1
Tue,Afternoon,11,Low,Normal,3AC,4,Normal,14,0
Mon,Night,42,Medium,Normal,Sleeper,2,Normal,58,1
Sun,Morning,76,Low,Festival,2AC,2,Normal,20,0
Wed,Evening,119,Medium,Festival,Sleeper,1,Normal,62,0
Sat,Morning,66,Medium,Festival,3AC,4,Normal,48,1
Thu,Morning,17,High,Festival,Sleeper,4,Normal,32,0
Sat,Afternoon,110,Low,Festival,2AC,1,Tatkal,22,1
Fri,Morning,89,Low,Normal,1AC,4,Normal,94,0
Thu,Evening,9,Low,Holiday,2AC,5,Normal,1,1
Fri,Night,115,Medium,Normal,Sleeper,4,Tatkal,7,1
Sat,Afternoon,3,Medium,Holiday,1AC,2,Normal,48,1
Fri,Night,100,Medium,Holiday,1AC,1,Normal,90,1
Thu,Morning,11,Medium,Normal,3AC,2,Tatkal,85,0
Mon,Evening,52,Low,Holiday,3AC,4,Tatkal,48,1
Sat,Night,50,Low,Holiday,2AC,1,Tatkal,53,1
Sat,Evening,15,High,Festival,2AC,4,Normal,65,1
Tue,Morning,16,Low,Normal,3AC,2,Normal,21,1
Sat,Morning,103,High,Holiday,2AC,4,Tatkal,94,0
Sun,Night,94,High,Festival,2AC,4,Normal,16,0
Sun,Afternoon,25,Medium,Festival,Sleeper,2,Tatkal,6,1
Sat,Evening,1,Low,Normal,3AC,5,Tatkal,21,1
Mon,Evening,28,Medium,Holiday,3AC,1,Tatkal,61,0
Tue,Evening,93,High,Festival,Sleeper,4,Normal,56,0
Wed,Morning,111,Low,Festival,2AC,3,Tatkal,6,1
Fri,Morning,46,High,Festival,1AC,2,Tatkal,34,0
Thu,Night,10,High,Festival,Sleeper,3,Tatkal,40,0
Wed,Night,100,Low,Holiday,1AC,4,Tatkal,47,0
Tue,Morning,33,Low,Normal,2AC,4,Tatkal,40,1
Sun,Afternoon,117,Medium,Holiday,1AC,4,Tatkal,91,1
Sun,Evening,70,Medium,Holiday,3AC,1,Tatkal,95,1
Sun,Evening,102,Low,Festival,Sleeper,2,Normal,96,0
Mon,Morning,28,Medium,Holiday,3AC,2,Tatkal,97,0
Sun,Afternoon,96,High,Festival,1AC,4,Tatkal,95,0
Thu,Afternoon,120,Medium,Normal,2AC,3,Tatkal,24,1
Fri,Afternoon,48,High,Holiday,3AC,2,Normal,82,0
Sat,Afternoon,119,Medium,Festival,1AC,5,Tatkal,59,1
Sat,Afternoon,90,High,Normal,1AC,5,Normal,27,1
Wed,Night,15,Medium,Normal,1AC,3,Tatkal,95,0
Fri,Morning,80,High,Normal,Sleeper,4,Normal,81,1
Tue,Morning,74,Low,Holiday,1AC,3,Normal,78,1
Fri,Morning,13,Medium,Festival,1AC,5,Tatkal,7,1
Mon,Evening,12,High,Normal,3AC,1,Normal,76,0
Wed,Afternoon,34,Low,Holiday,3AC,1,Normal,9,1
Wed,Afternoon,89,Low,Festival,Sleeper,3,Normal,75,1
Mon,Evening,51,High,Normal,1AC,5,Tatkal,78,0
Fri,Afternoon,24,Low,Festival,3AC,4,Normal,80,1
Sun,Afternoon,103,Low,Festival,3AC,1,Tatkal,89,0
Mon,Afternoon,107,High,Holiday,1AC,5,Normal,50,1
Sun,Afternoon,106,Medium,Holiday,1AC,5,Normal,32,1
Thu,Afternoon,58,Medium,Normal,2AC,4,Normal,19,0
Mon,Night,75,Low,Holiday,Sleeper,3,Tatkal,2,1
Sun,Morning,110,High,Holiday,1AC,4,Tatkal,31,1
Fri,Night,116,Medium,Festival,3AC,3,Tatkal,67,1
Sun,Afternoon,67,Medium,Normal,Sleeper,1,Normal,98,1
Mon,Morning,41,Medium,Holiday,2AC,4,Normal,76,1
Tue,Morning,47,High,Normal,2AC,2,Tatkal,5,1
Sat,Morning,104,High,Festival,3AC,5,Tatkal,18,0
Mon,Morning,112,High,Festival,Sleeper,1,Tatkal,42,0
Sat,Evening,90,Low,Festival,3AC,1,Normal,100,1
Mon,Morning,117,High,Holiday,1AC,5,Normal,2,1
Fri,Evening,44,Low,Holiday,Sleeper,5,Tatkal,91,0
Thu,Evening,71,High,Normal,Sleeper,2,Normal,82,1
Thu,Morning,118,Low,Normal,3AC,3,Tatkal,65,1
Sat,Afternoon,71,High,Festival,2AC,2,Normal,97,1
Fri,Afternoon,28,Medium,Normal,Sleeper,2,Normal,68,0
Sun,Morning,2,High,Normal,Sleeper,1,Tatkal,93,0
Fri,Morning,20,Medium,Normal,2AC,5,Normal,6,1
Fri,Evening,30,High,Holiday,3AC,1,Tatkal,90,0
Tue,Night,12,Medium,Festival,2AC,5,Tatkal,61,0
Wed,Evening,94,High,Holiday,Sleeper,2,Normal,27,1
Mon,Afternoon,80,High,Normal,1AC,2,Tatkal,89,0
Fri,Night,47,Low,Normal,Sleeper,2,Normal,29,0
Fri,Night,95,Low,Normal,1AC,4,Normal,39,1
Fri,Night,23,Low,Normal,2AC,1,Tatkal,54,0
Thu,Evening,1,Medium,Festival,Sleeper,5,Tatkal,25,1
Fri,Evening,105,Medium,Holiday,2AC,5,Normal,74,1
Mon,Morning,2,High,Holiday,3AC,3,Normal,86,0
Sun,Evening,25,Low,Normal,Sleeper,1,Normal,37,1
Sun,Evening,1,Low,Normal,Sleeper,2,Normal,88,0
Fri,Night,32,Low,Holiday,Sleeper,3,Tatkal,18,0
Mon,Night,33,Medium,Festival,2AC,5,Normal,18,0
Tue,Evening,89,High,Festival,3AC,2,Normal,55,1
Sun,Afternoon,97,High,Normal,1AC,2,Tatkal,64,0
Wed,Night,37,High,Normal,3AC,2,Tatkal,66,0
Thu,Morning,77,High,Normal,3AC,4,Tatkal,3,1
Mon,Afternoon,94,High,Holiday,3AC,2,Normal,87,0
Sun,Night,19,High,Normal,Sleeper,5,Tatkal,50,0
Sun,Morning,9,Low,Normal,Sleeper,2,Normal,38,1
Sat,Night,83,Medium,Normal,Sleeper,2,Normal,91,1
Tue,Morning,32,Low,Festival,3AC,1,Normal,87,0
Wed,Night,44,Low,Holiday,1AC,3,Tatkal,23,0
Wed,Night,111,Medium,Festival,Sleeper,2,Tatkal,95,0
Wed,Evening,59,High,Holiday,2AC,4,Normal,39,0
Mon,Afternoon,65,High,Normal,1AC,1,Tatkal,54,0
Tue,Afternoon,109,Medium,Normal,2AC,3,Normal,10,1
Fri,Evening,60,Medium,Normal,1AC,5,Normal,62,1
Sat,Night,50,Low,Normal,3AC,3,Tatkal,93,0
Tue,Afternoon,11,Low,Festival,3AC,3,Normal,27,1
Tue,Morning,79,Medium,Holiday,3AC,1,Tatkal,2,1
Sun,Morning,8,Medium,Festival,Sleeper,5,Tatkal,11,1
Tue,Night,10,Medium,Festival,1AC,1,Normal,43,0
Mon,Night,20,High,Normal,2AC,1,Tatkal,9,1
Sat,Morning,75,High,Holiday,3AC,4,Tatkal,58,1
Mon,Night,67,Medium,Festival,1AC,2,Normal,28,0
Sat,Evening,25,High,Holiday,3AC,1,Normal,52,0
Sat,Afternoon,62,High,Festival,Sleeper,3,Tatkal,74,0
Sun,Morning,18,Medium,Festival,3AC,5,Normal,71,0
Mon,Evening,105,Medium,Festival,1AC,2,Tatkal,10,0
Sat,Morning,110,High,Festival,1AC,1,Tatkal,64,0
Tue,Morning,16,Medium,Festival,2AC,4,Normal,7,0
Mon,Night,43,Low,Holiday,Sleeper,2,Tatkal,61,0
Sat,Afternoon,60,Medium,Normal,3AC,2,Tatkal,9,0
Wed,Evening,0,High,Festival,1AC,5,Tatkal,79,0
Mon,Morning,111,Low,Festival,1AC,5,Tatkal,38,0
Sun,Morning,71,Medium,Holiday,3AC,5,Normal,4,1
Thu,Night,57,Medium,Festival,2AC,5,Tatkal,40,0
Mon,Evening,93,Low,Festival,Sleeper,1,Normal,0,1
Mon,Night,120,High,Holiday,1AC,3,Normal,83,1
Mon,Night,114,High,Holiday,3AC,3,Normal,3,1
Sat,Evening,40,High,Festival,1AC,1,Normal,96,0
Mon,Afternoon,23,Low,Normal,Sleeper,3,Normal,6,0
Thu,Night,42,Medium,Festival,Sleeper,5,Normal,1,1
